Date,Open,High,Low,Close,Adj Close,Volume
1976-08-11,6.990107,7.037020,6.927556,6.927556,1.727684,727403
1976-08-12,6.927556,6.990107,6.927556,6.974469,1.739385,496393
1976-08-13,6.974469,7.037020,6.958831,6.990107,1.743285,674646
1976-08-16,6.990107,7.083934,6.974469,7.052658,1.758884,630682
1976-08-17,7.052658,7.052658,6.974469,7.021383,1.751085,459623
1976-08-18,7.021383,7.052658,6.927556,6.927556,1.727684,465218
1976-08-19,6.911918,6.911918,6.802453,6.833729,1.704286,582722
1976-08-20,6.833729,6.849366,6.802453,6.818091,1.700385,338123
1976-08-23,6.818091,6.865004,6.646075,6.865004,1.712085,457225
1976-08-24,6.865004,6.911918,6.833729,6.833729,1.704286,485202
1976-08-25,6.833729,6.833729,6.755540,6.786815,1.692584,1111888
1976-08-26,6.771177,6.771177,6.567886,6.646075,1.657485,463620
1976-08-27,6.630437,6.630437,6.552248,6.567886,1.637985,305349
1976-08-30,6.567886,6.646075,6.520972,6.630437,1.653585,386882
1976-08-31,6.630437,6.724264,6.614799,6.630437,1.653585,509182
1976-09-01,6.630437,6.692988,6.583523,6.692988,1.669185,850502
1976-09-02,6.692988,6.724264,6.646075,6.677350,1.665285,633080
1976-09-03,6.661713,6.661713,6.567886,6.599161,1.645786,326132
1976-09-07,6.599161,6.661713,6.583523,6.630437,1.653585,518774
1976-09-08,6.630437,6.724264,6.552248,6.692988,1.669185,700225
1976-09-09,6.692988,6.739902,6.661713,6.708626,1.673085,590715
1976-09-10,6.708626,6.818091,6.708626,6.786815,1.692584,583521
1976-09-13,6.786815,6.911918,6.771177,6.865004,1.712085,683439
1976-09-14,6.849366,6.849366,6.755540,6.818091,1.714444,394876
1976-09-15,6.818091,6.896280,6.755540,6.802453,1.710511,460422
1976-09-16,6.865004,6.943193,6.865004,6.911918,1.738036,772966
1976-09-17,6.911918,6.958831,6.880642,6.927556,1.741969,621090
1976-09-20,6.927556,6.958831,6.880642,6.896280,1.734106,517176
1976-09-21,6.896280,6.974469,6.849366,6.974469,1.753766,1354089
1976-09-22,6.974469,7.083934,6.974469,7.068296,1.777360,1761754
1976-09-23,7.068296,7.130847,7.005745,7.099572,1.785223,1532342
1976-09-24,7.083934,7.083934,7.037020,7.037020,1.769495,587518
1976-09-27,7.037020,7.052658,7.005745,7.052658,1.773428,585120
1976-09-28,7.037020,7.037020,6.943193,7.005745,1.761632,617094
1976-09-29,6.990107,6.990107,6.865004,6.865004,1.726241,387682
1976-09-30,6.865004,6.896280,6.724264,6.771177,1.702647,700225
1976-10-01,6.771177,6.818091,6.661713,6.677350,1.679054,358905
1976-10-04,6.520972,6.520972,6.380232,6.489697,1.631867,1368477
1976-10-05,6.489697,6.708626,6.474059,6.505334,1.635799,2400430
1976-10-06,6.505334,6.520972,6.442783,6.505334,1.635799,1856876
1976-10-07,6.505334,6.614799,6.474059,6.567886,1.651528,2197397
1976-10-08,6.567886,6.661713,6.536610,6.552248,1.647597,1156651
1976-10-11,6.520972,6.520972,6.442783,6.458421,1.624003,505985
1976-10-12,6.458421,6.489697,6.348956,6.395870,1.608274,1415638
1976-10-13,6.411507,6.474059,6.411507,6.458421,1.624003,1007973
1976-10-14,6.442783,6.442783,6.286405,6.286405,1.580748,780160
1976-10-15,6.286405,6.380232,6.270767,6.317680,1.588614,809735
1976-10-18,6.317680,6.411507,6.286405,6.380232,1.604342,1026358
1976-10-19,6.380232,6.520972,6.333318,6.474059,1.627936,1290141
1976-10-20,6.474059,6.583523,6.442783,6.505334,1.635799,752183
1976-10-21,6.505334,6.520972,6.458421,6.489697,1.631867,543554
1976-10-22,6.489697,6.536610,6.427145,6.536610,1.643665,1139065
1976-10-25,6.536610,6.536610,6.474059,6.505334,1.635799,705021
1976-10-26,6.520972,6.567886,6.520972,6.536610,1.643665,748985
1976-10-27,6.536610,6.599161,6.536610,6.599161,1.659393,765772
1976-10-28,6.599161,6.661713,6.599161,6.630437,1.667258,1060729
1976-10-29,6.630437,6.692988,6.583523,6.677350,1.679054,850502
1976-11-01,6.677350,6.724264,6.661713,6.661713,1.675122,603505
1976-11-03,6.599161,6.599161,6.458421,6.520972,1.639732,771367
1976-11-04,6.520972,6.614799,6.411507,6.599161,1.659393,752982
1976-11-05,6.599161,6.599161,6.505334,6.520972,1.639732,939229
1976-11-08,6.489697,6.489697,6.348956,6.348956,1.596478,371695
1976-11-09,6.348956,6.442783,6.348956,6.395870,1.608274,685837
1976-11-10,6.395870,6.427145,6.270767,6.348956,1.596478,1036749
1976-11-11,6.348956,6.395870,6.302043,6.380232,1.604342,406067
1976-11-12,6.380232,6.380232,6.317680,6.380232,1.604342,594712
1976-11-15,6.380232,6.380232,6.302043,6.364594,1.600410,503587
1976-11-16,6.364594,6.411507,6.317680,6.364594,1.600410,1232588
1976-11-17,6.364594,6.442783,6.364594,6.411507,1.612207,713015
1976-11-18,6.411507,6.474059,6.380232,6.442783,1.620071,813732
1976-11-19,6.442783,6.536610,6.411507,6.458421,1.624003,956015
1976-11-22,6.458421,6.536610,6.442783,6.489697,1.631867,685837
1976-11-23,6.489697,6.489697,6.442783,6.442783,1.620071,679442
1976-11-24,6.442783,6.489697,6.380232,6.411507,1.612207,544353
1976-11-26,6.411507,6.427145,6.380232,6.427145,1.616138,1577905
1976-11-29,6.427145,6.442783,6.380232,6.380232,1.604342,787354
1976-11-30,6.380232,6.380232,6.317680,6.333318,1.592546,557143
1976-12-01,6.333318,6.411507,6.333318,6.411507,1.612207,1175835
1976-12-02,6.411507,6.442783,6.348956,6.364594,1.600410,835314
1976-12-03,6.364594,6.395870,6.333318,6.364594,1.600410,896065
1976-12-06,6.364594,6.411507,6.348956,6.380232,1.604342,882476
1976-12-07,6.380232,6.427145,6.348956,6.380232,1.604342,1135068
1976-12-08,6.380232,6.427145,6.348956,6.411507,1.612207,1445214
1976-12-09,6.411507,6.583523,6.411507,6.583523,1.655461,2063107
1976-12-10,6.583523,6.677350,6.520972,6.661713,1.675122,1431625
1976-12-13,6.661713,6.677350,6.614799,6.646075,1.671190,1071920
1976-12-14,6.646075,6.724264,6.599161,6.724264,1.690851,1605882
1976-12-15,6.724264,6.739902,6.599161,6.614799,1.677369,1489178
1976-12-16,6.614799,6.692988,6.552248,6.599161,1.673403,1450809
1976-12-17,6.599161,6.661713,6.552248,6.552248,1.661507,2157429
1976-12-20,6.552248,6.630437,6.536610,6.614799,1.677369,1850481
1976-12-21,6.614799,6.614799,6.536610,6.583523,1.669437,2067903
1976-12-22,6.583523,6.661713,6.520972,6.630437,1.681334,2486759
1976-12-23,6.630437,6.646075,6.599161,6.630437,1.681334,1855277
1976-12-27,6.630437,6.708626,6.599161,6.708626,1.701161,961611
1976-12-28,6.724264,6.911918,6.724264,6.865004,1.740816,2577884
1976-12-29,6.865004,6.911918,6.755540,6.833729,1.732884,1402849
1976-12-30,6.833729,6.927556,6.802453,6.927556,1.756676,870486
1976-12-31,6.927556,6.974469,6.911918,6.958831,1.764607,918446
1977-01-03,6.880642,6.990107,6.880642,6.927556,1.756676,750584
1977-01-04,6.927556,6.943193,6.724264,6.739902,1.709092,798545
1977-01-05,6.739902,6.786815,6.646075,6.661713,1.689265,888871
1977-01-06,6.661713,6.755540,6.567886,6.567886,1.665471,1680221
1977-01-07,6.599161,6.755540,6.599161,6.677350,1.693230,1488379
1977-01-10,6.692988,6.786815,6.692988,6.755540,1.713058,1693810
1977-01-11,6.755540,6.786815,6.692988,6.692988,1.697195,1067124
1977-01-12,6.692988,6.724264,6.630437,6.677350,1.693230,867288
1977-01-13,6.677350,6.786815,6.661713,6.755540,1.713058,1147858
1977-01-14,6.755540,6.818091,6.708626,6.802453,1.724953,803341
1977-01-17,6.802453,6.802453,6.708626,6.786815,1.720988,698627
1977-01-18,6.786815,6.802453,6.724264,6.755540,1.713058,740992
1977-01-19,6.755540,6.849366,6.692988,6.692988,1.697195,796147
1977-01-20,6.692988,6.755540,6.630437,6.692988,1.697195,740193
1977-01-21,6.692988,6.692988,6.630437,6.692988,1.697195,999180
1977-01-24,6.692988,6.708626,6.567886,6.583523,1.669437,979196
1977-01-25,6.583523,6.614799,6.552248,6.599161,1.673403,1202213
1977-01-26,6.599161,6.692988,6.567886,6.630437,1.681334,772966
1977-01-27,6.630437,6.724264,6.552248,6.599161,1.673403,721808
1977-01-28,6.599161,6.661713,6.567886,6.599161,1.673403,856897
1977-01-31,6.599161,6.630437,6.536610,6.614799,1.677369,1223796
1977-02-01,6.614799,6.661713,6.583523,6.599161,1.673403,1018364
1977-02-02,6.599161,6.646075,6.552248,6.567886,1.665471,810535
1977-02-03,6.567886,6.677350,6.505334,6.505334,1.649610,968805
1977-02-04,6.505334,6.536610,6.395870,6.411507,1.625818,1113486
1977-02-07,6.411507,6.427145,6.348956,6.364594,1.613922,873683
1977-02-08,6.364594,6.395870,6.348956,6.380232,1.617887,862492
1977-02-09,6.380232,6.395870,6.302043,6.348956,1.609957,1169440
1977-02-10,6.348956,6.427145,6.317680,6.364594,1.613922,1030354
1977-02-11,6.364594,6.395870,6.302043,6.348956,1.609957,1050338
1977-02-14,6.348956,6.411507,6.317680,6.395870,1.621853,855298
1977-02-15,6.395870,6.427145,6.333318,6.348956,1.609957,708219
